Longitude,Latitude,datetime_x,UHI Index,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12,ndwi,ndvi,ndbi,B01 (pooled),B02 (pooled),B03 (pooled),B04 (pooled),B05 (pooled),B06 (pooled),B07 (pooled),B08 (pooled),B8A (pooled),B11 (pooled),B12 (pooled),ndwi (pooled),ndvi (pooled),ndbi (pooled),uhi_id,datetime_y,building_count_0-25ft,building_impact_0-25ft,building_count_25-50ft,building_impact_25-50ft,building_count_50-100ft,building_impact_50-100ft,building_count_100-200ft,building_impact_100-200ft,building_count_200-500ft,building_impact_200-500ft,closest_building_distance,closest_building_height,closest_building_area,tree_count_0-25ft,tree_impact_0-25ft,tree_count_25-50ft,tree_impact_25-50ft,tree_count_50-100ft,tree_impact_50-100ft,tree_count_100-200ft,tree_impact_100-200ft,tree_count_200-500ft,tree_impact_200-500ft,closest_tree_distance,closest_tree_dbh,longitude,latitude
-73.90916667,40.81310667,24-07-2021 15:53,1.030288903,841.5,841.5,1053.0,1155.0,1206.0,1481.5,1660.5,1721.0,1832.0,1709.0,1792.0,-0.24080749819754865,0.19680111265646733,-0.003498542274052478,-0.0110375275938189,-0.0110375275938189,-0.0110375275938189,-0.0110375275938189,-0.0110375275938189,-0.0110375275938189,-0.0110375275938189,-0.0110375275938189,-0.0110375275938189,-0.0110375275938189,-0.0110375275938189,-0.0,-0.0,-0.0,0,24-07-2021 15:53,0.0,0.0,1.0,50964.85737211388,0.0,0.0,10.0,452149.25197356095,60.0,990937.8720841494,42.70999910092897,31.099999999999994,6152.54487491502,0.0,0.0,1.0,6.754428088395192,2.0,25.84516564103884,13.0,382.98938454049096,51.0,694.608497629734,40.49893260882981,5.0,-73.90916667,40.81310667000001
-73.909215,40.81297833,24-07-2021 15:53,1.023797758,841.5,841.5,646.0,823.0,777.0,1130.5,1883.0,2117.5,2241.0,2251.0,1548.0,-0.5324769314275375,0.4402312531882333,0.030559688680325055,-0.1828978622327791,-0.1828978622327791,-0.1828978622327791,-0.1828978622327791,-0.1828978622327791,-0.1828978622327791,-0.1828978622327791,-0.1828978622327791,-0.1828978622327791,-0.1828978622327791,-0.1828978622327791,-0.0,-0.0,-0.0,2,24-07-2021 15:53,0.0,0.0,1.0,50158.81094572504,0.0,0.0,9.0,420591.4574374306,62.0,987564.5212551292,45.36615666110645,31.099999999999994,6152.54487491502,0.0,0.0,1.0,12.882943118857671,4.0,71.71620101302788,9.0,286.51731700175577,53.0,731.5325436657054,44.85695817491722,7.0,-73.909215,40.81297832999999
-73.90924167,40.81290833,24-07-2021 15:53,1.023797758,841.5,841.5,625.0,766.0,741.5,1130.5,1883.0,2117.5,2200.0,2251.0,1548.0,-0.544211485870556,0.4687012311427085,0.030559688680325055,-0.1739594450373532,-0.1739594450373532,-0.1739594450373532,-0.1739594450373532,-0.1739594450373532,-0.1739594450373532,-0.1739594450373532,-0.1739594450373532,-0.1739594450373532,-0.1739594450373532,-0.1739594450373532,-0.0,-0.0,-0.0,3,24-07-2021 15:53,0.0,0.0,1.0,50140.37185249008,2.0,380793.3105063579,7.0,62703.62379756821,63.0,1001788.78385845,45.429844514489744,31.099999999999994,6152.54487491502,1.0,16.73555033958639,1.0,9.733056387476037,2.0,51.70477928618369,8.0,249.11237883786103,52.0,671.7142045582727,18.688323817317965,7.0,-73.90924167,40.81290832999999
-73.90925667,40.812845,24-07-2021 15:53,1.021634043,841.5,841.5,659.5,763.0,708.5,1077.5,1783.0,2042.0,2161.0,2186.0,1617.5,-0.5117527299648343,0.4559714795008913,0.03405865657521287,-0.1438401482069604,-0.1438401482069604,-0.1438401482069604,-0.1438401482069604,-0.1438401482069604,-0.1438401482069604,-0.1438401482069604,-0.1438401482069604,-0.1438401482069604,-0.1438401482069604,-0.1438401482069604,-0.0,-0.0,-0.0,4,24-07-2021 15:53,0.0,0.0,1.0,50675.91360423744,2.0,396959.7248835533,7.0,15994.746808797552,62.0,865227.6941938335,43.6341490407082,31.099999999999994,6152.54487491502,2.0,34.69168402711142,1.0,50.349874188348274,1.0,10.949186682765726,6.0,174.11647683932807,52.0,723.4846676305004,9.012552180065253,7.0,-73.90925667,40.81284500000002
-73.90931167,40.81271,24-07-2021 15:53,1.015142899,841.5,841.5,551.5,768.5,659.0,1077.5,1783.0,2042.0,2472.0,2186.0,1617.5,-0.5747059957586274,0.4531222202455079,0.03405865657521287,-0.2089497493581122,-0.2089497493581122,-0.2089497493581122,-0.2089497493581122,-0.2089497493581122,-0.2089497493581122,-0.2089497493581122,-0.2089497493581122,-0.2089497493581122,-0.2089497493581122,-0.2089497493581122,-0.0,-0.0,-0.0,6,24-07-2021 15:53,0.0,0.0,1.0,2670.0117723270528,3.0,465497.6936021135,9.0,29565.958005561693,59.0,862212.6099372548,44.77459851684931,1.0,10150.42617403272,0.0,0.0,3.0,77.79380679445732,1.0,12.113698233491345,3.0,32.56160468034139,54.0,748.122336442039,35.179383071138325,6.0,-73.90931167,40.81271
-73.90934,40.81264333,24-07-2021 15:53,1.015142899,1177.0,1177.0,656.0,807.0,814.0,1430.5,1970.0,2275.5,2524.0,2345.5,1901.5,-0.5524475524475524,0.47639902676399026,0.015148236312486475,-0.1406620720822506,-0.1406620720822506,-0.1406620720822506,-0.1406620720822506,-0.1406620720822506,-0.1406620720822506,-0.1406620720822506,-0.1406620720822506,-0.1406620720822506,-0.1406620720822506,-0.1406620720822506,-0.0,-0.0,-0.0,7,24-07-2021 15:53,0.0,0.0,1.0,2654.6620506080744,4.0,473254.4517429064,11.0,113025.76536569468,53.0,769296.5925844469,45.76971996559138,1.0,10150.42617403272,1.0,20.1145311905483,0.0,0.0,3.0,69.04642140794411,1.0,4.744104192088262,55.0,815.6182585163508,11.42780951225554,7.0,-73.90934,40.81264333000001
-73.90936333,40.81256167,24-07-2021 15:53,1.012979184,1177.0,1177.0,675.0,816.0,845.0,1430.5,1970.0,2275.5,2343.0,2345.5,1901.5,-0.5424504321301474,0.4721009218825813,0.015148236312486475,-0.1040169631287548,-0.1040169631287548,-0.1040169631287548,-0.1040169631287548,-0.1040169631287548,-0.1040169631287548,-0.1040169631287548,-0.1040169631287548,-0.1040169631287548,-0.1040169631287548,-0.1040169631287548,-0.0,-0.0,-0.0,8,24-07-2021 15:53,0.0,0.0,2.0,4619.137720477864,4.0,440726.7874814738,12.0,151079.8302869775,50.0,735780.7627912558,44.21158375583288,1.0,7351.8303753869,1.0,16.163008454427118,0.0,0.0,2.0,52.89673759327884,2.0,13.440742990467191,56.0,812.0896373196099,20.73066141627512,7.0,-73.90936333,40.81256167
-73.90938333,40.812485,24-07-2021 15:53,1.012979184,1177.0,1177.0,688.0,866.5,802.0,1425.5,1881.5,2001.0,2321.0,2088.5,1994.5,-0.4882856080327259,0.395640802092415,0.021396258711333903,-0.0756575136137179,-0.0756575136137179,-0.0756575136137179,-0.0756575136137179,-0.0756575136137179,-0.0756575136137179,-0.0756575136137179,-0.0756575136137179,-0.0756575136137179,-0.0756575136137179,-0.0756575136137179,-0.0,-0.0,-0.0,9,24-07-2021 15:53,0.0,0.0,2.0,11393.4591900319,5.0,440470.150035748,13.0,146382.85669221965,45.0,731416.1274082032,41.70502257623721,18.57,1894.339548402046,0.0,0.0,1.0,12.596323999077754,0.0,0.0,5.0,67.56326799645177,53.0,851.6631307042588,48.91205003840712,7.0,-73.90938333,40.81248500000001
-73.90942,40.81233,24-07-2021 15:53,1.010815469,1177.0,1177.0,741.5,892.5,845.0,1425.5,1881.5,2001.0,2169.0,2088.5,1994.5,-0.4592525068368277,0.3831000518403318,0.021396258711333903,-0.0419118530082862,-0.0419118530082862,-0.0419118530082862,-0.0419118530082862,-0.0419118530082862,-0.0419118530082862,-0.0419118530082862,-0.0419118530082862,-0.0419118530082862,-0.0419118530082862,-0.0419118530082862,-0.0,-0.0,-0.0,11,24-07-2021 15:53,0.0,0.0,4.0,36221.428749343366,6.0,529465.530057468,13.0,26249.48777037956,42.0,705734.9641427082,35.216263207369686,15.25,1921.347409215069,0.0,0.0,0.0,0.0,1.0,3.493609153408625,6.0,80.19789469685907,55.0,1003.6323383721058,97.4940225732974,4.0,-73.90942000000001,40.81233000000002
-73.90945333,40.81223667,24-07-2021 15:53,1.010815469,1177.0,1177.0,815.5,909.0,869.5,1802.0,1873.5,1960.0,1703.0,2029.5,2304.5,-0.4123581336696091,0.3663297316138027,0.017420729414713624,0.150093574547723,0.150093574547723,0.150093574547723,0.150093574547723,0.150093574547723,0.150093574547723,0.150093574547723,0.150093574547723,0.150093574547723,0.150093574547723,0.150093574547723,0.0,0.0,0.0,12,24-07-2021 15:53,0.0,0.0,5.0,154374.10154603867,6.0,415887.5959783923,13.0,29166.17079059359,37.0,659026.5792916892,35.28956111695542,20.130000000000003,1857.2214624357464,0.0,0.0,0.0,0.0,2.0,9.361262726237518,6.0,78.45416685083939,52.0,958.524841039746,62.779254904493904,4.0,-73.90945333,40.81223666999999
